"myMonth","Flights","DelayType","Delay","Year"
"2004-12-01",606731,"LateAircraftDelay",3032195,"2004"
"2005-01-01",594924,"CarrierDelay",2067784,"2005"
"2005-02-01",545332,"CarrierDelay",1492652,"2005"
"2005-03-01",617540,"CarrierDelay",1848181,"2005"
"2005-04-01",594492,"CarrierDelay",1335380,"2005"
"2005-05-01",614802,"CarrierDelay",1385037,"2005"
"2005-06-01",609195,"CarrierDelay",2065172,"2005"
"2005-07-01",627961,"CarrierDelay",2516919,"2005"
"2005-08-01",630904,"CarrierDelay",2164422,"2005"
"2005-09-01",574253,"CarrierDelay",1349963,"2005"
"2005-10-01",592712,"CarrierDelay",1381005,"2005"
"2005-11-01",566138,"CarrierDelay",1522750,"2005"
"2005-12-01",572343,"CarrierDelay",2312615,"2005"
"2005-01-01",594924,"WeatherDelay",601992,"2005"
"2005-02-01",545332,"WeatherDelay",315848,"2005"
"2005-03-01",617540,"WeatherDelay",377667,"2005"
"2005-04-01",594492,"WeatherDelay",242815,"2005"
"2005-05-01",614802,"WeatherDelay",257587,"2005"
"2005-06-01",609195,"WeatherDelay",494727,"2005"
"2005-07-01",627961,"WeatherDelay",727936,"2005"
"2005-08-01",630904,"WeatherDelay",507289,"2005"
"2005-09-01",574253,"WeatherDelay",200089,"2005"
"2005-10-01",592712,"WeatherDelay",287169,"2005"
"2005-11-01",566138,"WeatherDelay",257998,"2005"
"2005-12-01",572343,"WeatherDelay",442673,"2005"
"2005-01-01",594924,"NASDelay",2373719,"2005"
"2005-02-01",545332,"NASDelay",1876506,"2005"
"2005-03-01",617540,"NASDelay",2209616,"2005"
"2005-04-01",594492,"NASDelay",1298076,"2005"
"2005-05-01",614802,"NASDelay",1385878,"2005"
"2005-06-01",609195,"NASDelay",2445503,"2005"
"2005-07-01",627961,"NASDelay",3128157,"2005"
"2005-08-01",630904,"NASDelay",2227201,"2005"
"2005-09-01",574253,"NASDelay",1238216,"2005"
"2005-10-01",592712,"NASDelay",1689471,"2005"
"2005-11-01",566138,"NASDelay",1797001,"2005"
"2005-12-01",572343,"NASDelay",2376853,"2005"
"2005-01-01",594924,"SecurityDelay",13152,"2005"
"2005-02-01",545332,"SecurityDelay",7289,"2005"
"2005-03-01",617540,"SecurityDelay",22559,"2005"
"2005-04-01",594492,"SecurityDelay",8652,"2005"
"2005-05-01",614802,"SecurityDelay",5329,"2005"
"2005-06-01",609195,"SecurityDelay",10144,"2005"
"2005-07-01",627961,"SecurityDelay",13948,"2005"
"2005-08-01",630904,"SecurityDelay",20258,"2005"
"2005-09-01",574253,"SecurityDelay",6318,"2005"
"2005-10-01",592712,"SecurityDelay",9160,"2005"
"2005-11-01",566138,"SecurityDelay",5883,"2005"
"2005-12-01",572343,"SecurityDelay",18353,"2005"
"2005-01-01",594924,"LateAircraftDelay",2564397,"2005"
"2005-02-01",545332,"LateAircraftDelay",1778646,"2005"
"2005-03-01",617540,"LateAircraftDelay",2367218,"2005"
"2005-04-01",594492,"LateAircraftDelay",1379302,"2005"
"2005-05-01",614802,"LateAircraftDelay",1530562,"2005"
"2005-06-01",609195,"LateAircraftDelay",2801540,"2005"
"2005-07-01",627961,"LateAircraftDelay",3894650,"2005"
"2005-08-01",630904,"LateAircraftDelay",2661527,"2005"
"2005-09-01",574253,"LateAircraftDelay",1255912,"2005"
"2005-10-01",592712,"LateAircraftDelay",1624195,"2005"
"2005-11-01",566138,"LateAircraftDelay",1620211,"2005"
"2005-12-01",572343,"LateAircraftDelay",2679447,"2005"
"2006-01-01",581287,"CarrierDelay",1716094,"2006"
"2006-02-01",531247,"CarrierDelay",1658066,"2006"
"2006-03-01",605217,"CarrierDelay",1896227,"2006"
"2006-04-01",585351,"CarrierDelay",1687855,"2006"
"2006-05-01",602919,"CarrierDelay",1726870,"2006"
"2006-06-01",598315,"CarrierDelay",2488811,"2006"
"2006-07-01",621244,"CarrierDelay",2599148,"2006"
"2006-08-01",628732,"CarrierDelay",2246758,"2006"
"2006-09-01",584937,"CarrierDelay",1838438,"2006"
"2006-10-01",611718,"CarrierDelay",2129345,"2006"
"2006-11-01",586197,"CarrierDelay",1783605,"2006"
"2006-12-01",604758,"CarrierDelay",2484077,"2006"
"2006-01-01",581287,"WeatherDelay",350723,"2006"
"2006-02-01",531247,"WeatherDelay",333845,"2006"
"2006-03-01",605217,"WeatherDelay",333336,"2006"
"2006-04-01",585351,"WeatherDelay",273740,"2006"
"2006-05-01",602919,"WeatherDelay",322533,"2006"
"2006-06-01",598315,"WeatherDelay",608474,"2006"
"2006-07-01",621244,"WeatherDelay",551181,"2006"
"2006-08-01",628732,"WeatherDelay",452936,"2006"
"2006-09-01",584937,"WeatherDelay",405927,"2006"
"2006-10-01",611718,"WeatherDelay",439564,"2006"
"2006-11-01",586197,"WeatherDelay",335112,"2006"
"2006-12-01",604758,"WeatherDelay",446472,"2006"
"2006-01-01",581287,"NASDelay",1805841,"2006"
"2006-02-01",531247,"NASDelay",1803968,"2006"
"2006-03-01",605217,"NASDelay",2089504,"2006"
"2006-04-01",585351,"NASDelay",1741250,"2006"
"2006-05-01",602919,"NASDelay",1927774,"2006"
"2006-06-01",598315,"NASDelay",2332203,"2006"
"2006-07-01",621244,"NASDelay",2282707,"2006"
"2006-08-01",628732,"NASDelay",2022056,"2006"
"2006-09-01",584937,"NASDelay",2317486,"2006"
"2006-10-01",611718,"NASDelay",2738419,"2006"
"2006-11-01",586197,"NASDelay",2195925,"2006"
"2006-12-01",604758,"NASDelay",2353582,"2006"
"2006-01-01",581287,"SecurityDelay",8056,"2006"
"2006-02-01",531247,"SecurityDelay",22340,"2006"
"2006-03-01",605217,"SecurityDelay",18280,"2006"
"2006-04-01",585351,"SecurityDelay",23017,"2006"
"2006-05-01",602919,"SecurityDelay",7559,"2006"
"2006-06-01",598315,"SecurityDelay",11849,"2006"
"2006-07-01",621244,"SecurityDelay",11401,"2006"
"2006-08-01",628732,"SecurityDelay",64327,"2006"
"2006-09-01",584937,"SecurityDelay",13413,"2006"
"2006-10-01",611718,"SecurityDelay",11375,"2006"
"2006-11-01",586197,"SecurityDelay",10087,"2006"
"2006-12-01",604758,"SecurityDelay",19667,"2006"
"2006-01-01",581287,"LateAircraftDelay",1971851,"2006"
"2006-02-01",531247,"LateAircraftDelay",2111853,"2006"
"2006-03-01",605217,"LateAircraftDelay",2657080,"2006"
"2006-04-01",585351,"LateAircraftDelay",2246792,"2006"
"2006-05-01",602919,"LateAircraftDelay",2403513,"2006"
"2006-06-01",598315,"LateAircraftDelay",3390729,"2006"
"2006-07-01",621244,"LateAircraftDelay",3457827,"2006"
"2006-08-01",628732,"LateAircraftDelay",2859965,"2006"
"2006-09-01",584937,"LateAircraftDelay",2453058,"2006"
"2006-10-01",611718,"LateAircraftDelay",3009885,"2006"
"2006-11-01",586197,"LateAircraftDelay",2286567,"2006"
"2006-12-01",604758,"LateAircraftDelay",3396696,"2006"
"2007-01-01",621559,"CarrierDelay",2200212,"2007"
"2007-02-01",565604,"CarrierDelay",2618501,"2007"
"2007-03-01",639209,"CarrierDelay",2548581,"2007"
"2007-04-01",614648,"CarrierDelay",2078632,"2007"
"2007-05-01",631609,"CarrierDelay",1919316,"2007"
"2007-06-01",629280,"CarrierDelay",2992281,"2007"
"2007-07-01",648560,"CarrierDelay",3008057,"2007"
"2007-08-01",653279,"CarrierDelay",2866013,"2007"
"2007-09-01",600187,"CarrierDelay",1748246,"2007"
"2007-10-01",629992,"CarrierDelay",1908292,"2007"
"2007-11-01",605149,"CarrierDelay",1726179,"2007"
"2007-12-01",614139,"CarrierDelay",3194124,"2007"
"2007-01-01",621559,"WeatherDelay",505125,"2007"
"2007-02-01",565604,"WeatherDelay",646296,"2007"
"2007-03-01",639209,"WeatherDelay",404860,"2007"
"2007-04-01",614648,"WeatherDelay",317424,"2007"
"2007-05-01",631609,"WeatherDelay",382267,"2007"
"2007-06-01",629280,"WeatherDelay",803209,"2007"
"2007-07-01",648560,"WeatherDelay",698240,"2007"
"2007-08-01",653279,"WeatherDelay",547181,"2007"
"2007-09-01",600187,"WeatherDelay",246889,"2007"
"2007-10-01",629992,"WeatherDelay",287745,"2007"
"2007-11-01",605149,"WeatherDelay",203195,"2007"
"2007-12-01",614139,"WeatherDelay",697218,"2007"
"2007-01-01",621559,"NASDelay",2234312,"2007"
"2007-02-01",565604,"NASDelay",2208587,"2007"
"2007-03-01",639209,"NASDelay",2304310,"2007"
"2007-04-01",614648,"NASDelay",2205125,"2007"
"2007-05-01",631609,"NASDelay",2063976,"2007"
"2007-06-01",629280,"NASDelay",3244260,"2007"
"2007-07-01",648560,"NASDelay",2811468,"2007"
"2007-08-01",653279,"NASDelay",2701698,"2007"
"2007-09-01",600187,"NASDelay",1495285,"2007"
"2007-10-01",629992,"NASDelay",2127859,"2007"
"2007-11-01",605149,"NASDelay",1753846,"2007"
"2007-12-01",614139,"NASDelay",3050020,"2007"
"2007-01-01",621559,"SecurityDelay",12124,"2007"
"2007-02-01",565604,"SecurityDelay",14144,"2007"
"2007-03-01",639209,"SecurityDelay",13737,"2007"
"2007-04-01",614648,"SecurityDelay",14453,"2007"
"2007-05-01",631609,"SecurityDelay",11686,"2007"
"2007-06-01",629280,"SecurityDelay",20560,"2007"
"2007-07-01",648560,"SecurityDelay",23045,"2007"
"2007-08-01",653279,"SecurityDelay",17971,"2007"
"2007-09-01",600187,"SecurityDelay",11244,"2007"
"2007-10-01",629992,"SecurityDelay",11612,"2007"
"2007-11-01",605149,"SecurityDelay",8190,"2007"
"2007-12-01",614139,"SecurityDelay",18140,"2007"
"2007-01-01",621559,"LateAircraftDelay",2904995,"2007"
"2007-02-01",565604,"LateAircraftDelay",3395999,"2007"
"2007-03-01",639209,"LateAircraftDelay",3321925,"2007"
"2007-04-01",614648,"LateAircraftDelay",2826618,"2007"
"2007-05-01",631609,"LateAircraftDelay",2487334,"2007"
"2007-06-01",629280,"LateAircraftDelay",4370859,"2007"
"2007-07-01",648560,"LateAircraftDelay",4275001,"2007"
"2007-08-01",653279,"LateAircraftDelay",3933045,"2007"
"2007-09-01",600187,"LateAircraftDelay",1792796,"2007"
"2007-10-01",629992,"LateAircraftDelay",2338823,"2007"
"2007-11-01",605149,"LateAircraftDelay",2090662,"2007"
"2007-12-01",614139,"LateAircraftDelay",4266885,"2007"
"2008-01-01",605765,"CarrierDelay",2355954,"2008"
"2008-02-01",569236,"CarrierDelay",2398296,"2008"
"2008-03-01",616090,"CarrierDelay",2527895,"2008"
"2008-04-01",598126,"CarrierDelay",1926766,"2008"
"2008-05-01",606293,"CarrierDelay",1722631,"2008"
"2008-06-01",608665,"CarrierDelay",2482267,"2008"
"2008-07-01",627931,"CarrierDelay",2417097,"2008"
"2008-08-01",612279,"CarrierDelay",2130584,"2008"
"2008-09-01",540908,"CarrierDelay",1218688,"2008"
"2008-10-01",556205,"CarrierDelay",1145054,"2008"
"2008-11-01",523272,"CarrierDelay",1121975,"2008"
"2008-12-01",544958,"CarrierDelay",2601010,"2008"
"2008-01-01",605765,"WeatherDelay",429828,"2008"
"2008-02-01",569236,"WeatherDelay",544326,"2008"
"2008-03-01",616090,"WeatherDelay",474687,"2008"
"2008-04-01",598126,"WeatherDelay",268806,"2008"
"2008-05-01",606293,"WeatherDelay",240013,"2008"
"2008-06-01",608665,"WeatherDelay",571832,"2008"
"2008-07-01",627931,"WeatherDelay",555794,"2008"
"2008-08-01",612279,"WeatherDelay",398906,"2008"
"2008-09-01",540908,"WeatherDelay",157032,"2008"
"2008-10-01",556205,"WeatherDelay",105092,"2008"
"2008-11-01",523272,"WeatherDelay",139442,"2008"
"2008-12-01",544958,"WeatherDelay",747959,"2008"
"2008-01-01",605765,"NASDelay",2422180,"2008"
"2008-02-01",569236,"NASDelay",2572644,"2008"
"2008-03-01",616090,"NASDelay",2487133,"2008"
"2008-04-01",598126,"NASDelay",1964005,"2008"
"2008-05-01",606293,"NASDelay",1996671,"2008"
"2008-06-01",608665,"NASDelay",3226918,"2008"
"2008-07-01",627931,"NASDelay",2716037,"2008"
"2008-08-01",612279,"NASDelay",2068748,"2008"
"2008-09-01",540908,"NASDelay",1177489,"2008"
"2008-10-01",556205,"NASDelay",1102384,"2008"
"2008-11-01",523272,"NASDelay",1527896,"2008"
"2008-12-01",544958,"NASDelay",2909396,"2008"
"2008-01-01",605765,"SecurityDelay",12912,"2008"
"2008-02-01",569236,"SecurityDelay",11361,"2008"
"2008-03-01",616090,"SecurityDelay",15117,"2008"
"2008-04-01",598126,"SecurityDelay",7645,"2008"
"2008-05-01",606293,"SecurityDelay",9751,"2008"
"2008-06-01",608665,"SecurityDelay",10614,"2008"
"2008-07-01",627931,"SecurityDelay",13126,"2008"
"2008-08-01",612279,"SecurityDelay",7414,"2008"
"2008-09-01",540908,"SecurityDelay",4823,"2008"
"2008-10-01",556205,"SecurityDelay",5285,"2008"
"2008-11-01",523272,"SecurityDelay",4087,"2008"
"2008-12-01",544958,"SecurityDelay",12181,"2008"
"2008-01-01",605765,"LateAircraftDelay",3145788,"2008"
"2008-02-01",569236,"LateAircraftDelay",3495284,"2008"
"2008-03-01",616090,"LateAircraftDelay",3344243,"2008"
"2008-04-01",598126,"LateAircraftDelay",2277313,"2008"
"2008-05-01",606293,"LateAircraftDelay",2244264,"2008"
"2008-06-01",608665,"LateAircraftDelay",3580641,"2008"
"2008-07-01",627931,"LateAircraftDelay",3062892,"2008"
"2008-08-01",612279,"LateAircraftDelay",2490422,"2008"
"2008-09-01",540908,"LateAircraftDelay",1075911,"2008"
"2008-10-01",556205,"LateAircraftDelay",1149195,"2008"
"2008-11-01",523272,"LateAircraftDelay",1525169,"2008"
"2008-12-01",544958,"LateAircraftDelay",4279120,"2008"
